Gene,ADS,DAGS,CDAS,CAIS
pheS,0.0962,0.0357,0.0552,0.0937
aao,0.1082,0.0257,0.1043,0.1079
lipE,0.0488,0.0066,0.146,0.0547
moaB2,0.0597,0.0557,0.0209,0.0573
htdY,0.0617,0.0197,0.0969,0.0638
fadE31,0.0299,0.0043,0.0896,0.0335
moaD1,0.1731,0.1156,0.0307,0.1644
whiB3,0.0597,0.0557,0.0209,0.0573
ccdA,0.0299,0.0128,0.0417,0.0306
whiA,0.0516,0.0175,0.0687,0.0526
mutT3,0.0955,0.0557,0.0626,0.0935
speE,0.1301,0.0389,0.1656,0.1322
hisF,0.0509,0.0134,0.1104,0.0545
TB8.4,0.0597,0.0457,0.0344,0.0582
icl1,0.0537,0.0437,0.027,0.0521
cycA,0.0461,0.0121,0.146,0.0521
mesJ,0.0418,0.0437,0.0294,0.041
mce4C,0.0597,0.0257,0.0761,0.0607
mshB,0.081,0.0471,0.0417,0.0786
choD,0.0459,0.0072,0.173,0.0536
pknH,0.1061,0.0457,0.2429,0.1144
crp,0.0657,0.0317,0.0626,0.0655
mce1F,0.0634,0.007,0.2147,0.0725
fbpB,0.086,0.0451,0.1104,0.0874
lppV,0.0678,0.0284,0.0687,0.0678
sugA,0.064,0.0471,0.0417,0.0626
fdxA,0.0299,0.0557,0.0061,0.0285
murI,0.0537,0.0317,0.0626,0.0542
sdhB,0.085,0.0326,0.0834,0.0849
nuoC,0.0299,0.0257,0.0209,0.0294
purD,0.0537,0.0197,0.0626,0.0542
acg,0.0896,0.0465,0.0834,0.0892
mdh,0.191,0.1336,0.0626,0.1832
ftsX,0.0384,0.0214,0.0417,0.0386
pks15,0.0736,0.0117,0.2012,0.0813
lhr,0.0663,0.0079,0.4025,0.0867
fadD24,0.0299,0.0,0.1865,0.0394
moxR1,0.0398,0.0157,0.0761,0.042
fadD10,0.0299,0.0024,0.1178,0.0352
lipR,0.1927,0.1047,0.0687,0.1851
fadE21,0.0537,0.0197,0.0969,0.0563
gshA,0.0528,0.0188,0.0834,0.0546
mez,0.0827,0.0142,0.1742,0.0882
cobG,0.0768,0.0171,0.0896,0.0775
hemL,0.3881,0.3555,0.0417,0.3671
mapA,0.1443,0.0857,0.0761,0.1401
rnhB,0.064,0.03,0.0417,0.0626
aroA,0.0617,0.0157,0.0969,0.0638
cobIJ,0.061,0.014,0.1521,0.0665
glnB,0.0149,0.0257,0.0209,0.0153
dapA,0.1692,0.1056,0.0761,0.1635
aroB,0.1174,0.0677,0.0969,0.1161
ddn,0.0896,0.0357,0.0552,0.0875
kdpF,0.0299,0.1156,0.0,0.0282
ctpD,0.0431,0.0157,0.1178,0.0476
ppnK,0.2421,0.089,0.0552,0.2306
glnA3,0.0299,0.002,0.1252,0.0357
mbtL,0.0697,0.0757,0.0135,0.0663
fadE30,0.0666,0.0418,0.0834,0.0676
glcB,0.105,0.0623,0.1804,0.1095
narI,0.0955,0.0557,0.0626,0.0935
pcaA,0.0299,0.0257,0.0209,0.0294
mntH,0.197,0.1216,0.0626,0.1888
fgd1,0.1373,0.0956,0.0969,0.1348
tesA,0.039,0.0142,0.0834,0.0417
lprJ,0.0497,0.0357,0.0344,0.0488
vapB43,0.5871,0.5553,0.0135,0.5523
irtA,0.0585,0.0053,0.1656,0.065
mhpE,0.1773,0.0522,0.1104,0.1731
csd,0.0456,0.0083,0.1252,0.0504
modA,0.1642,0.1306,0.0479,0.1571
rbsK,0.0896,0.0304,0.1252,0.0917
def,0.0896,0.0557,0.0344,0.0862
purQ,0.0299,0.0157,0.0344,0.0302
lppU,0.0697,0.0557,0.0344,0.0675
leuB,0.062,0.0234,0.0834,0.0633
radA,0.1055,0.0277,0.0969,0.1049
pks4,0.0488,0.0045,0.2773,0.0626
cyp124,0.1559,0.039,0.1178,0.1535
erm(37),0.0431,0.0224,0.0552,0.0438
lpqL,0.081,0.0214,0.0896,0.0815
vapC4,0.0299,0.0157,0.0344,0.0302
eccA3,0.0485,0.0145,0.1043,0.0519
dctA,0.1418,0.1231,0.0479,0.1361
moeA1,0.0725,0.0557,0.0417,0.0706
nrdE,0.0725,0.0214,0.0896,0.0735
cyp144,0.0537,0.0197,0.0969,0.0563
lipT,0.0814,0.0284,0.146,0.0853
mazF3,0.0299,0.0557,0.0074,0.0286
cobC,0.039,0.0142,0.0834,0.0417
atpC,0.0,0.0557,0.0074,0.0005
yrbE1B,0.0456,0.0083,0.1252,0.0504
fadB4,0.1134,0.0677,0.0626,0.1103
espA,0.0821,0.0257,0.1043,0.0834
fadD30,0.1327,0.034,0.319,0.1439
csoR,0.0299,0.0257,0.0209,0.0294
espK,0.0497,0.0124,0.2429,0.0614
vapC31,0.1748,0.0985,0.0417,0.1667
trxA,0.0497,0.0357,0.0344,0.0488
mmaA3,0.0512,0.0214,0.0896,0.0535
far,0.056,0.0107,0.1043,0.0589
fadE5,0.1612,0.0722,0.2699,0.1677
fbpC,0.064,0.0471,0.0417,0.0626
lpqH,0.0448,0.0257,0.0479,0.045
rbfA,0.0469,0.03,0.0417,0.0466
clpP1,0.0299,0.0357,0.0135,0.0289
sugI,0.0597,0.0157,0.1178,0.0632
rho,0.0469,0.0214,0.0896,0.0495
fadE13,0.0657,0.0197,0.0969,0.0676
cyp123,0.1426,0.0623,0.1178,0.141
amiD,0.1537,0.0623,0.1804,0.1552
vapC32,0.0896,0.0757,0.0344,0.0862
mtn,0.0758,0.0326,0.0834,0.0762
ansP1,0.038,0.0093,0.146,0.0445
hycD,0.0933,0.0407,0.1043,0.0939
hpx,0.0344,0.0096,0.0834,0.0374
eccB2,0.0522,0.0047,0.2712,0.0654
sseB,0.0816,0.0317,0.0969,0.0825
mshA,0.0776,0.0497,0.1313,0.0808
ptpA,0.0776,0.0677,0.027,0.0745
leuS,0.0602,0.0033,0.4307,0.0826
nrdI,0.0537,0.0437,0.027,0.0521
mprA,0.0299,0.0107,0.0479,0.031
ureA,0.0299,0.0557,0.0074,0.0286
php,0.0518,0.0083,0.1252,0.0562
mycP4,0.0624,0.0121,0.146,0.0674
fbpA,0.0896,0.0426,0.1521,0.0934
sppA,0.0497,0.0082,0.1595,0.0563
lepA,0.0509,0.0098,0.1104,0.0545
cobD,0.0597,0.0107,0.1043,0.0624
kasA,0.0497,0.0257,0.0761,0.0513
cyp128,0.0709,0.0145,0.2147,0.0796
mctB,0.0537,0.0317,0.0626,0.0542
pfkB,0.0841,0.0284,0.0687,0.0831
recX,0.0299,0.0197,0.027,0.0297
nuoH,0.0497,0.0257,0.0761,0.0513
aroG,0.0299,0.0197,0.027,0.0297
celA1,0.2529,0.1598,0.1252,0.2451
fadD28,0.072,0.0169,0.1104,0.0743
hadC,0.0469,0.03,0.0417,0.0466
eno,0.0378,0.0117,0.0969,0.0414
uvrA,0.1076,0.0375,0.2221,0.1145
dnaE2,0.0911,0.0234,0.2638,0.1015
nuoE,0.0299,0.0157,0.0344,0.0302
ileS,0.0805,0.0321,0.2221,0.0891
lprH,0.0299,0.0157,0.0344,0.0302
clpB,0.0361,0.0083,0.1252,0.0415
lpqA,0.1625,0.109,0.0552,0.1559
fadA5,0.0469,0.03,0.0417,0.0466
ribD,0.0624,0.0175,0.0687,0.0627
gcpE,0.1045,0.0707,0.0479,0.101
serA2,0.0716,0.0317,0.0626,0.071
esxO,0.0697,0.0757,0.0135,0.0663
accD4,0.0299,0.0057,0.0761,0.0327
treY,0.0517,0.0074,0.2773,0.0654
lprD,0.1592,0.1056,0.0344,0.1516
pepA,0.1028,0.069,0.0552,0.0999
murD,0.0833,0.0336,0.1252,0.0858
lpqZ,0.0941,0.0234,0.0834,0.0934
espH,0.0448,0.0257,0.0479,0.045
dnaN,0.0418,0.0117,0.2012,0.0514
pks16,0.0299,0.0107,0.0479,0.031
tyrS,0.0945,0.0357,0.0761,0.0933
tgs1,0.1528,0.1015,0.1104,0.1502
esxV,0.0299,0.0557,0.0061,0.0285
uvrD2,0.1006,0.0179,0.1804,0.1054
moaR1,0.0733,0.0284,0.0687,0.073
rpoA,0.0725,0.0385,0.0896,0.0735
mce1D,0.0821,0.0307,0.1595,0.0868
dxr,0.1194,0.1006,0.0479,0.115
ppsE,0.0941,0.015,0.3607,0.1102
apt,0.0537,0.0437,0.027,0.0521
cysH,0.0418,0.0197,0.0626,0.043
folD,0.0497,0.029,0.0552,0.05
gmk,0.1493,0.1396,0.027,0.1419
cyp126,0.1457,0.1015,0.1104,0.1435
mce4B,0.0574,0.0142,0.0834,0.0589
vapB46,0.0299,0.0257,0.0209,0.0294
blaI,0.1418,0.1231,0.0479,0.1361
fadE26,0.0697,0.0197,0.0969,0.0713
leuD,0.0299,0.009,0.0552,0.0314
htpG,0.0398,0.0157,0.0761,0.042
embA,0.0715,0.032,0.2908,0.0848
pyrD,0.0448,0.0257,0.0479,0.045
proC,0.0439,0.0098,0.1104,0.0479
mazF9,0.0896,0.0857,0.0209,0.0854
pitB,0.0896,0.0273,0.1252,0.0917
clgR,0.0597,0.0557,0.0209,0.0573
ispD,0.0299,0.0197,0.027,0.0297
vapC18,0.1095,0.0757,0.0135,0.1036
cyp137,0.0409,0.0046,0.1804,0.0493
pks3,0.0697,0.0457,0.0344,0.0675
lpqO,0.0341,0.0086,0.0896,0.0374
vapC1,0.0299,0.0128,0.0417,0.0306
sodC,0.0554,0.03,0.0417,0.0545
cyp143,0.209,0.163,0.1252,0.2039
echA17,0.0597,0.0357,0.0344,0.0581
clpC2,0.0398,0.0157,0.0761,0.042
purU,0.0299,0.0032,0.1043,0.0344
bioF2,0.0554,0.0086,0.3816,0.0752
cysA3,0.0299,0.1156,0.0,0.0282
PE24,0.0418,0.0117,0.0969,0.0451
pyrG,0.1151,0.06,0.1865,0.1194
carB,0.0657,0.0107,0.2699,0.078
qcrA,0.0796,0.0557,0.0761,0.0794
sdhC,0.0299,0.0257,0.0209,0.0294
eccA1,0.0663,0.0224,0.1178,0.0694
lppL,0.062,0.0234,0.0834,0.0633
rne,0.0522,0.0145,0.2147,0.062
ftsE,0.0522,0.0332,0.0479,0.0519
PE3,0.0443,0.0066,0.2221,0.0551
glfT2,0.0613,0.021,0.1252,0.0651
fbpD,0.0597,0.0214,0.0896,0.0615
prsA,0.0299,0.0157,0.0344,0.0302
pstC2,0.1559,0.0623,0.0552,0.1497
eccE1,0.0574,0.0096,0.173,0.0644
35kd_ag,0.039,0.0142,0.0834,0.0417
mptA,0.0657,0.0197,0.0969,0.0676
dlaT,0.0497,0.0128,0.1387,0.0551
recG,0.1194,0.0775,0.146,0.121
glgB,0.0478,0.0077,0.1325,0.0529
nusA,0.0856,0.0197,0.0969,0.0862
ufaA1,0.0841,0.023,0.0687,0.0831
trcR,0.0299,0.0128,0.0417,0.0306
qcrC,0.081,0.0642,0.0417,0.0786
bcp,0.0537,0.0437,0.027,0.0521
moeB2,0.1161,0.0623,0.0552,0.1124
tgs3,0.0657,0.0557,0.027,0.0633
fadE7,0.0464,0.0124,0.1178,0.0507
lpqQ,0.0567,0.0137,0.1313,0.0612
trxB2,0.0544,0.0169,0.1104,0.0578
ctaC,0.0299,0.0077,0.0626,0.0319
vapB34,0.0,0.0557,0.0074,0.0005
metK,0.1194,0.0257,0.1325,0.1201
espI,0.1104,0.0197,0.2699,0.12
lprE,0.0776,0.0437,0.027,0.0745
eccC4,0.0525,0.0029,0.3399,0.0699
dnaE1,0.0657,0.0237,0.2012,0.0739
msrA,0.0299,0.0066,0.0687,0.0322
cmaA1,0.0564,0.0357,0.0552,0.0563
mycP2,0.0859,0.0103,0.2221,0.0941
espC,0.0469,0.03,0.0417,0.0466
vapC15,0.0384,0.0214,0.0417,0.0386
dppA,0.0746,0.0307,0.1595,0.0797
tesB1,0.1119,0.0782,0.0479,0.108
PE1,0.0464,0.0057,0.2429,0.0583
parA,0.0896,0.0197,0.1325,0.0921
gcp,0.0378,0.0117,0.0969,0.0414
vapC6,0.2004,0.1156,0.0454,0.1909
vapB38,0.0522,0.0332,0.0479,0.0519
gabD2,0.1433,0.0647,0.1313,0.1425
engA,0.0516,0.0121,0.146,0.0573
ilvX,0.0839,0.0271,0.1387,0.0872
viuB,0.0682,0.0257,0.0896,0.0695
ahpE,0.0299,0.0157,0.0344,0.0302
atpG,0.1433,0.0857,0.1313,0.1425
moeW,0.1104,0.0407,0.1313,0.1116
pykA,0.0423,0.0057,0.1595,0.0494
ctpB,0.0657,0.0297,0.2012,0.0739
gyrA,0.0516,0.0039,0.2982,0.0665
rpe,0.0836,0.0317,0.0626,0.0823
rplQ,0.0299,0.0257,0.0209,0.0294
recF,0.0537,0.0197,0.0969,0.0563
vapC3,0.0896,0.0757,0.0344,0.0862
scpB,0.0299,0.0107,0.0479,0.031
accA2,0.0815,0.0184,0.2491,0.0916
argF,0.0378,0.0117,0.0969,0.0414
TB15.3,0.0448,0.0407,0.0209,0.0433
sigG,0.0624,0.0175,0.0687,0.0627
arfA,0.0299,0.0137,0.0626,0.0319
cysM,0.1178,0.0399,0.1252,0.1182
menA,0.0469,0.03,0.0417,0.0466
sdhD,0.0896,0.0471,0.0417,0.0867
ispF,0.0299,0.0257,0.0209,0.0294
tatD,0.0299,0.0037,0.0969,0.0339
vapC2,0.0841,0.0502,0.0687,0.0831
fixA,0.0418,0.0197,0.0626,0.043
thrS,0.1652,0.0996,0.0969,0.161
PE34,0.1294,0.0757,0.0135,0.1223
cysK1,0.0896,0.0632,0.1043,0.0905
orn,0.1493,0.1156,0.0417,0.1427
lppO,0.0597,0.0257,0.0479,0.059
sigD,0.0896,0.0657,0.0761,0.0888
hisD,0.0746,0.0332,0.1043,0.0764
amiC,0.0707,0.0273,0.1252,0.074
rpsN1,0.0448,0.0557,0.0209,0.0434
mce1C,0.0547,0.0082,0.1595,0.061
truA,0.0365,0.0157,0.0552,0.0376
rskA,0.0509,0.0169,0.1104,0.0545
lprK,0.0461,0.0121,0.0687,0.0474
cobB,0.0672,0.0332,0.1043,0.0694
fadE10,0.0787,0.0175,0.2221,0.0874
frdB,0.0448,0.0257,0.0479,0.045
purL,0.1176,0.0557,0.1104,0.1171
fas,0.0679,0.0016,0.6245,0.1016
aftC,0.0299,0.009,0.0552,0.0314
cfp21,0.064,0.0214,0.0896,0.0655
eccE5,0.064,0.0214,0.0896,0.0655
nlhH,0.0336,0.007,0.1043,0.0379
lprA,0.0365,0.0157,0.0552,0.0376
mmsA,0.0827,0.0257,0.173,0.0881
lipA,0.0697,0.0257,0.0761,0.0701
echA19,0.0299,0.0157,0.0344,0.0302
pheA,0.0678,0.0339,0.0687,0.0678
cstA,0.0415,0.0024,0.2429,0.0537
fadE33,0.0516,0.0284,0.0687,0.0526
eccD4,0.038,0.0066,0.146,0.0445
aac,0.0448,0.0257,0.0479,0.045
otsA,0.0657,0.0557,0.027,0.0633
ephE,0.0981,0.0814,0.0417,0.0947
pta,0.0528,0.0096,0.1742,0.0601
lipZ,0.1365,0.0557,0.0896,0.1336
lppX,0.0431,0.0224,0.0552,0.0438
fabG1,0.0537,0.0437,0.027,0.0521
oxcA,0.0876,0.0286,0.2074,0.0948
mazF1,0.0299,0.0257,0.0209,0.0294
mce2C,0.0532,0.0114,0.1521,0.0592
lppE,0.209,0.1336,0.0626,0.2001
mak,0.0816,0.0277,0.0969,0.0825
bpoA,0.0758,0.0234,0.0834,0.0762
mpt64,0.1493,0.089,0.0552,0.1435
ephG,0.0896,0.0557,0.0344,0.0862
fusA2,0.0837,0.022,0.2773,0.0954
hemD,0.0933,0.0444,0.1043,0.0939
sdhA,0.1106,0.0522,0.1104,0.1105
cobN,0.0802,0.0086,0.4785,0.1043
nuoM,0.1036,0.0239,0.1104,0.104
rfbE,0.0597,0.0407,0.0479,0.059
fadD26,0.1851,0.0857,0.0626,0.1776
bcpB,0.0299,0.0197,0.027,0.0297
menH,0.0597,0.0257,0.0479,0.059
ppm1,0.1134,0.0497,0.1313,0.1144
recD,0.0746,0.0214,0.1865,0.0813
icd1,0.0896,0.03,0.0896,0.0896
dinP,0.0981,0.0243,0.1387,0.1005
scoA,0.0554,0.03,0.0417,0.0545
cobK,0.0528,0.0234,0.0834,0.0546
gnd1,0.0461,0.0121,0.146,0.0521
rplJ,0.0299,0.0107,0.0479,0.031
cyp135A1,0.0871,0.0182,0.1595,0.0914
fadE32,0.0697,0.0357,0.0761,0.0701
pknK,0.0884,0.0228,0.3472,0.104
adhC,0.0962,0.0357,0.0552,0.0937
ptkA,0.0758,0.0234,0.0834,0.0762
tig,0.039,0.0142,0.0834,0.0417
phoR,0.0629,0.0021,0.3816,0.0822
dinG,0.0401,0.004,0.1939,0.0494
lprQ,0.041,0.0107,0.1043,0.0448
moaA1,0.0682,0.0086,0.1865,0.0753
espG2,0.0434,0.0066,0.146,0.0496
PE7,0.0299,0.0197,0.027,0.0297
spoU,0.0299,0.0257,0.0209,0.0294
PE9,0.0299,0.0257,0.0209,0.0294
subI,0.0418,0.0197,0.0626,0.043
tuf,0.0776,0.0677,0.027,0.0745
uvrD1,0.0561,0.0101,0.1656,0.0627
mazE8,0.0299,0.1156,0.0,0.0282
dnaB,0.0728,0.0293,0.1656,0.0784
ackA,0.0299,0.0357,0.0135,0.0289
echA14,0.209,0.1423,0.0552,0.1996
glyS,0.0981,0.0814,0.0417,0.0947
ansP2,0.0299,0.002,0.1252,0.0357
ribA1,0.0418,0.0197,0.0626,0.043
vapC29,0.0299,0.0128,0.0417,0.0306
trpB,0.0448,0.0157,0.0761,0.0467
vapB23,0.0418,0.0317,0.027,0.0409
argC,0.0299,0.0043,0.0896,0.0335
rpsB,0.0299,0.0043,0.0896,0.0335
ggtB,0.0376,0.0061,0.1521,0.0445
lprM,0.0299,0.0066,0.0687,0.0322
umaA,0.1521,0.0757,0.1387,0.1512
rpmA,0.0,0.0557,0.0074,0.0005
vapC7,0.0537,0.0437,0.027,0.0521
pirG,0.0431,0.0224,0.0552,0.0438
lat,0.0341,0.0043,0.1865,0.0433
pcp,0.0682,0.0214,0.0896,0.0695
lpqW,0.1071,0.031,0.1104,0.1072
bioF1,0.0299,0.0357,0.0135,0.0289
phoH1,0.1254,0.0437,0.1313,0.1257
fxsA,0.1194,0.1056,0.0344,0.1142
lpqP,0.1023,0.0257,0.0896,0.1015
metC,0.0469,0.0214,0.0896,0.0495
papA3,0.0299,0.009,0.0552,0.0314
sugB,0.0497,0.0157,0.0761,0.0513
rpmG1,0.0299,0.0357,0.0135,0.0289
TB16.3,0.1612,0.1636,0.027,0.1531
grcC1,0.0522,0.0257,0.0479,0.0519
mrr,0.0378,0.0117,0.0969,0.0414
mas,0.0658,0.0023,0.4994,0.0921
frdD,0.0497,0.0357,0.0344,0.0488
hsaB,0.0299,0.0197,0.027,0.0297
nrdZ,0.0985,0.0302,0.2699,0.1088
yajC,0.0995,0.0857,0.0344,0.0955
smc,0.0789,0.0104,0.3055,0.0926
aspC,0.065,0.0169,0.1104,0.0677
trxB1,0.0497,0.0357,0.0344,0.0488
cyp136,0.0829,0.0357,0.1178,0.085
secG,0.1493,0.1756,0.0061,0.1406
PE15,0.0776,0.0437,0.027,0.0745
ansA,0.0424,0.0083,0.1252,0.0474
lpqC,0.0431,0.0224,0.0552,0.0438
moaE2,0.0299,0.0107,0.0479,0.031
esxE,0.0299,0.0257,0.0209,0.0294
phoH2,0.0418,0.0197,0.0626,0.043
rplS,0.0299,0.0557,0.0074,0.0286
nagA,0.0853,0.0214,0.0896,0.0855
egtE,0.0393,0.0083,0.1252,0.0445
ephC,0.081,0.0471,0.0417,0.0786
mazE5,0.0448,0.0257,0.0479,0.045
sigC,0.0896,0.0857,0.0209,0.0854
vapC26,0.0299,0.0157,0.0344,0.0302
fhaA,0.0674,0.018,0.2356,0.0776
rpsI,0.0597,0.0457,0.0344,0.0582
lpqM,0.0746,0.0182,0.1043,0.0764
thyX,0.0478,0.0197,0.0626,0.0487
dppD,0.0574,0.0142,0.173,0.0644
hspX,0.0299,0.0197,0.027,0.0297
scoB,0.0725,0.0257,0.0896,0.0735
fadD8,0.0785,0.0179,0.1804,0.0846
lpqD,0.0746,0.0257,0.0479,0.0729
glnA2,0.0448,0.0107,0.1043,0.0484
pncB1,0.2457,0.1341,0.0834,0.2358
glbN,0.0597,0.0257,0.0479,0.059
echA21,0.153,0.1081,0.1043,0.15
gyrB,0.1049,0.0311,0.2638,0.1145
stp,0.0402,0.0061,0.1521,0.047
rmlA,0.0299,0.0157,0.0344,0.0302
relB,0.0299,0.0357,0.0135,0.0289
rpmE,0.0299,0.0357,0.0135,0.0289
fadD11,0.0526,0.0214,0.1387,0.0578
fpg,0.0537,0.0277,0.0969,0.0563
rpsQ,0.1791,0.1306,0.0479,0.1711
hemE,0.0448,0.0407,0.0209,0.0433
glbO,0.2023,0.1623,0.0552,0.1933
lprI,0.0516,0.0175,0.0687,0.0526
sigB,0.0469,0.03,0.0417,0.0466
ribC,0.1254,0.0917,0.027,0.1194
thiC,0.0244,0.0066,0.0687,0.0271
pmmB,0.0439,0.0098,0.1104,0.0479
gpm1,0.0725,0.0557,0.0417,0.0706
uvrB,0.0497,0.0157,0.0969,0.0525
nadE,0.0776,0.0197,0.0626,0.0766
fadD34,0.1783,0.0418,0.2638,0.1834
glpQ2,0.0746,0.0332,0.1043,0.0764
eccB5,0.0537,0.0197,0.0626,0.0542
topA,0.0896,0.0377,0.1313,0.0921
mpt53,0.0497,0.0357,0.0344,0.0488
mpt83,0.0299,0.0157,0.0344,0.0302
PE6,0.0358,0.0137,0.0626,0.0374
pstB,0.0736,0.0397,0.0969,0.075
ctpE,0.0579,0.0098,0.2282,0.0682
aofH,0.0662,0.0218,0.1521,0.0714
eccE3,0.0763,0.0357,0.0552,0.075
rplR,0.0299,0.0357,0.0135,0.0289
ponA2,0.0341,0.0043,0.1865,0.0433
dinX,0.0487,0.0083,0.1252,0.0533
papA1,0.0644,0.0115,0.2564,0.076
mazF8,0.0344,0.0096,0.0834,0.0374
yrbE4B,0.0657,0.0557,0.027,0.0633
nrdB,0.0338,0.0077,0.0969,0.0376
fadD21,0.0439,0.0098,0.1104,0.0479
fadE22,0.0853,0.0343,0.1877,0.0915
accA1,0.0528,0.0072,0.173,0.0601
rpsA,0.194,0.1456,0.0761,0.1868
galE2,0.062,0.0234,0.0834,0.0633
vapB44,0.0497,0.0557,0.0135,0.0475
aldA,0.0402,0.0061,0.1521,0.047
sucC,0.0448,0.0157,0.0761,0.0467
cobH,0.0299,0.009,0.0552,0.0314
fadD17,0.0731,0.0081,0.1939,0.0804
PE27,0.0833,0.0367,0.1252,0.0858
coaE,0.0418,0.0197,0.0626,0.043
rnpA,0.1045,0.0457,0.0761,0.1027
cspA,0.064,0.03,0.0417,0.0626
rplV,0.0299,0.0357,0.0135,0.0289
argJ,0.0537,0.0197,0.0626,0.0542
fadD31,0.0526,0.0128,0.1387,0.0578
yrbE1A,0.0672,0.0257,0.0479,0.066
trpD,0.0896,0.0443,0.1387,0.0925
frr,0.0478,0.0197,0.0626,0.0487
rocE,0.2406,0.1015,0.1104,0.2326
fdxB,0.1194,0.0819,0.1043,0.1185
pstC1,0.0299,0.009,0.0552,0.0314
nrp,0.0785,0.0068,0.6319,0.112
arsB2,0.064,0.0128,0.1387,0.0685
mutT2,0.0469,0.03,0.0417,0.0466
fadE29,0.0746,0.0407,0.0761,0.0747
nusG,0.0733,0.0284,0.0687,0.073
atsA,0.0796,0.0117,0.2012,0.0869
vapC22,0.0597,0.0557,0.0209,0.0573
higB,0.0436,0.0142,0.0834,0.046
nrdF1,0.0299,0.0128,0.0417,0.0306
cpsY,0.0627,0.0137,0.1313,0.0668
ctpH,0.0855,0.0242,0.4025,0.1047
frdA,0.1125,0.0349,0.173,0.1161
hsp,0.0497,0.0357,0.0344,0.0488
atpF,0.0418,0.0437,0.027,0.0409
cinA,0.0987,0.0372,0.173,0.1032
dprE2,0.0384,0.0214,0.0417,0.0386
tkt,0.0461,0.0066,0.146,0.0521
rplP,0.0299,0.0557,0.0061,0.0285
lppY,0.0856,0.0437,0.0969,0.0863
pyrF,0.0299,0.0157,0.0344,0.0302
lppZ,0.0564,0.0124,0.1178,0.0601
sdaA,0.0706,0.0311,0.146,0.0751
cfp2,0.0299,0.0107,0.0479,0.031
rpsJ,0.0299,0.0557,0.0061,0.0285
hadA,0.1493,0.0757,0.0147,0.1411
mazE3,0.0299,0.0077,0.0626,0.0319
thiD,0.0945,0.0357,0.0761,0.0933
ribA2,0.0299,0.0157,0.0344,0.0302
arcA,0.0431,0.0124,0.1178,0.0476
glfT1,0.0657,0.0317,0.0626,0.0655
ctpA,0.1012,0.0396,0.2773,0.1118
sigI,0.1214,0.0517,0.0969,0.1199
vapB28,0.0896,0.1156,0.0061,0.0846
deoC,0.0482,0.0142,0.0834,0.0503
furA,0.1716,0.1306,0.0479,0.1641
gabP,0.153,0.0707,0.1043,0.15
uspA,0.0522,0.0257,0.0479,0.0519
ephA,0.0509,0.0169,0.1104,0.0545
nuoB,0.0299,0.0357,0.0135,0.0289
recB,0.092,0.0202,0.3325,0.1065
hycP,0.2338,0.0807,0.0761,0.2241
mmpL4,0.0746,0.0163,0.2147,0.0831
mutB,0.0407,0.0066,0.146,0.0471
rnc,0.1095,0.1156,0.0135,0.1037
fadB3,0.157,0.0739,0.1521,0.1566
fadE17,0.0426,0.0214,0.0896,0.0454
ltp3,0.0663,0.0157,0.1178,0.0694
amiB1,0.0856,0.0437,0.0969,0.0863
ldtA,0.2549,0.1341,0.0834,0.2444
eccA2,0.1023,0.0343,0.1865,0.1074
rplI,0.1045,0.0707,0.0479,0.101
hddA,0.0597,0.0057,0.1595,0.0657
pknA,0.0439,0.0098,0.1104,0.0479
rpmC,0.0697,0.0757,0.0135,0.0663
psd,0.1373,0.1156,0.027,0.1306
wag31,0.0497,0.0357,0.0344,0.0488
efpA,0.0995,0.0257,0.0761,0.098
ppdK,0.0418,0.0197,0.0626,0.043
fadE1,0.097,0.0407,0.1043,0.0974
pntAa,0.0478,0.0257,0.0626,0.0487
pepN,0.0657,0.0157,0.2012,0.0739
vapC16,0.197,0.1636,0.0626,0.1888
fdxC,0.0697,0.0757,0.0135,0.0663
opcA,0.1015,0.0357,0.0969,0.1012
PE31,0.0746,0.0707,0.0209,0.0713
moaA2,0.1119,0.0332,0.1043,0.1114
narX,0.071,0.0143,0.1939,0.0784
gadB,0.0179,0.0077,0.0626,0.0206
pks6,0.0706,0.008,0.6037,0.1029
bfrB,0.0299,0.0257,0.0209,0.0294
typA,0.0431,0.009,0.1178,0.0476
mbtF,0.065,0.0134,0.2294,0.0749
vapC34,0.0224,0.0257,0.0515,0.0242
emrB,0.1015,0.0365,0.1669,0.1054
metS,0.0404,0.0098,0.1104,0.0446
dxs2,0.0796,0.0382,0.1595,0.0844
menE,0.2601,0.2098,0.0417,0.2468
lppC,0.095,0.0611,0.0687,0.0934
panC,0.0597,0.0257,0.0761,0.0607
dacB1,0.1824,0.1623,0.0552,0.1747
hemZ,0.064,0.03,0.0417,0.0626
ethR,0.0736,0.0197,0.0969,0.075
galE1,0.0299,0.0197,0.027,0.0297
fadD22,0.0461,0.003,0.2221,0.0567
arsA,0.0299,0.0043,0.0896,0.0335
lprP,0.0821,0.0407,0.0479,0.08
aftA,0.0932,0.0284,0.2221,0.101
cut3,0.0896,0.0557,0.0687,0.0883
serB1,0.0199,0.0157,0.0344,0.0208
fadD12,0.0522,0.0107,0.1043,0.0553
rplY,0.0497,0.0357,0.0344,0.0488
prrB,0.0299,0.0197,0.027,0.0297
aspS,0.0597,0.0214,0.0896,0.0615
adhB,0.1891,0.1356,0.0552,0.1809
ptbB,0.0497,0.0157,0.0761,0.0513
lipV,0.0448,0.0407,0.0209,0.0433
mbtG,0.0299,0.009,0.0552,0.0314
mscL,0.1407,0.1242,0.0417,0.1347
